Issue,  RRP (£), Faction, Contents
1, £2.99, "Stormcast Eternals, Orruk Warclans", "1x Knight Arcanum, 1x Killaboss with Stab-grot, 6x Dice, 1x Battle Mat"
2, £5.99, Orruk Warclans, "10x Orruk Gutrippaz"
3, £8.99, Stormcast Eternals, "5x Stormcast Vindicators"
4, £8.99, Painting and Modelling, "1x Retributor Armour, 1x Leadbelcher, 1x Kantor Blue, 1x Orruk Flesh, 1x Starter Brush"
5, £8.99, Stormcast Eternals, "1x Praetor Prime"
6, £8.99, Orruk Warclans, "1x Hobgrotz Slittaz"
7, £8.99, Painting and Modelling, "1x Corax White, 1x Catachan Flesh"
8, £8.99, Stormcast Eternals, "1x Lord Imperatant with Gryph-Hound"
9, £8.99, Orruk Warclans, "1x Swampcalla Shaman with Pot-Grot"
10, £8.99, Stormcast Eternals, "1x Xandire's Truthseekers"
11, £8.99, Orruk Warclans, "1x Beast-Skewer Killbow"
12, £8.99, Stormcast Eternals, "1x Stormstrike Chariot"
13, £8.99, Painting and Modelling, "1x Mephiston Red, 1x Wraithbone"
14, £8.99, Orruk Warclans, "3x Man-Skewer Boltboyz"
15, £8.99, Stormcast Eternals, "3x Praetors"
16, £8.99, Terrain, "Primal Lair"
17, £8.99, Painting and Modelling, "1x Abaddon Black, 1x Agrax Earthshade"
18, £8.99, Orruk Warclans, "1x Da Kunnin' Krew"
19, £8.99, Stormcast Eternals, "1x Gardus Steel Soul"
20, £8.99, Orruk Warclans, "Marshcrawla Sloggoth (Part 1)"
21, £8.99, Orruk Warclans, "Marshcrawla Sloggoth (Part 2)"
22, £8.99, Painting and Modelling, "1x Averlund Sunset, 1x Gryph-Charger Grey"
